Quotes,Author_Name,Quote_Tag,Links,Date Of Birth,BirthPlace
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,"['friends', 'heartbreak', 'inspirational', 'life', 'love', 'sisters']",https://quotes.toscrape.com/author/Marilyn-Monroe,"June 01, 1926",The United States
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,"['courage', 'friends']",https://quotes.toscrape.com/author/J-K-Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kingdom"
"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,"['simplicity', 'understand']",https://quotes.toscrape.com/author/Albert-Einstein,"March 14, 1879","Ulm, Germany"
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,['love'],https://quotes.toscrape.com/author/Bob-Marley,"February 06, 1945","Nine Mile, Saint Ann, Jamaica"
"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss,['fantasy'],https://quotes.toscrape.com/author/Dr-Seuss,"March 02, 1904","Springfield, MA, The United States"
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams,"['life', 'navigation']",https://quotes.toscrape.com/author/Douglas-Adams,"March 11, 1952","Cambridge, England, The United Kingdom"
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,"['activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy']",https://quotes.toscrape.com/author/Elie-Wiesel,"September 30, 1928","Sighet, Romania"
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,"['friendship', 'lack-of-friendship', 'lack-of-love', 'love', 'marriage', 'unhappy-marriage']",https://quotes.toscrape.com/author/Friedrich-Nietzsche,"October 15, 1844","Röcken bei Lützen, Prussian Province of Saxony, Germany"
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,"['books', 'contentment', 'friends', 'friendship', 'life']",https://quotes.toscrape.com/author/Mark-Twain,"November 30, 1835","Florida, Missouri, The United States"
“Life is what happens to us while we are making other plans.”,Allen Saunders,"['fate', 'life', 'misattributed-john-lennon', 'planning', 'plans']",https://quotes.toscrape.com/author/Allen-Saunders,"April 24, 1899",The United States
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda,"['love', 'poetry']",https://quotes.toscrape.com/author/Pablo-Neruda,"July 12, 1904","Parral, Chile"
“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,['happiness'],https://quotes.toscrape.com/author/Ralph-Waldo-Emerson,"May 25, 1803","Boston, Massachusetts, The United States"
"“If you judge people, you have no time to love them.”",Mother Teresa,['attributed-no-source'],https://quotes.toscrape.com/author/Mother-Teresa,"August 26, 1910","Skopje, Macedonia, the Former Yugoslav Republic of"
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,"['humor', 'religion']",https://quotes.toscrape.com/author/Garrison-Keillor,"August 07, 1942","Anoka, Minnesota, The United States"
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,['humor'],https://quotes.toscrape.com/author/Jim-Henson,"September 24, 1936","Greenville, Mississippi, The United States"
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss,"['comedy', 'life', 'yourself']",https://quotes.toscrape.com/author/Dr-Seuss,"March 02, 1904","Springfield, MA, The United States"
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,"['children', 'fairy-tales']",https://quotes.toscrape.com/author/Albert-Einstein,"March 14, 1879","Ulm, Germany"
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",J.K. Rowling,[],https://quotes.toscrape.com/author/J-K-Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kingdom"
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,['imagination'],https://quotes.toscrape.com/author/Albert-Einstein,"March 14, 1879","Ulm, Germany"
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,['music'],https://quotes.toscrape.com/author/Bob-Marley,"February 06, 1945","Nine Mile, Saint Ann, Jamaica"
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss,"['learning', 'reading', 'seuss']",https://quotes.toscrape.com/author/Dr-Seuss,"March 02, 1904","Springfield, MA, The United States"
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",J.K. Rowling,['dumbledore'],https://quotes.toscrape.com/author/J-K-Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kingdom"
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,['friendship'],https://quotes.toscrape.com/author/Bob-Marley,"February 06, 1945","Nine Mile, Saint Ann, Jamaica"
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,"['misattributed-to-mother-teresa', 'paraphrased']",https://quotes.toscrape.com/author/Mother-Teresa,"August 26, 1910","Skopje, Macedonia, the Former Yugoslav Republic of"
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,"['death', 'inspirational']",https://quotes.toscrape.com/author/J-K-Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kingdom"
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,"['chocolate', 'food', 'humor']",https://quotes.toscrape.com/author/Charles-M-Schulz,"November 26, 1922","Minneapolis, MN, The United States"
“We read to know we're not alone.”,William Nicholson,"['misattributed-to-c-s-lewis', 'reading']",https://quotes.toscrape.com/author/William-Nicholson,"January 12, 1948","Lewes, Sussex, The United Kingdom"
“Any fool can know. The point is to understand.”,Albert Einstein,"['knowledge', 'learning', 'understanding', 'wisdom']",https://quotes.toscrape.com/author/Albert-Einstein,"March 14, 1879","Ulm, Germany"
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,"['books', 'library']",https://quotes.toscrape.com/author/Jorge-Luis-Borges,"August 24, 1899","Buenos Aires, Argentina"
“It is never too late to be what you might have been.”,George Eliot,['inspirational'],https://quotes.toscrape.com/author/George-Eliot,"November 22, 1819","South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom"
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin,"['read', 'readers', 'reading', 'reading-books']",https://quotes.toscrape.com/author/George-R-R-Martin,"September 20, 1948","Bayonne, New Jersey, The United States"
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,"['books', 'inspirational', 'reading', 'tea']",https://quotes.toscrape.com/author/C-S-Lewis,"November 29, 1898","Belfast, Ireland"
“You believe lies so you eventually learn to trust no one but yourself.”,Marilyn Monroe,[],https://quotes.toscrape.com/author/Marilyn-Monroe,"June 01, 1926",The United States
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,"['girls', 'love']",https://quotes.toscrape.com/author/Marilyn-Monroe,"June 01, 1926",The United States
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,"['life', 'simile']",https://quotes.toscrape.com/author/Albert-Einstein,"March 14, 1879","Ulm, Germany"
“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe,['love'],https://quotes.toscrape.com/author/Marilyn-Monroe,"June 01, 1926",The United States
"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",Marilyn Monroe,['attributed-no-source'],https://quotes.toscrape.com/author/Marilyn-Monroe,"June 01, 1926",The United States
“Only in the darkness can you see the stars.”,Martin Luther King Jr.,"['hope', 'inspirational']",https://quotes.toscrape.com/author/Martin-Luther-King-Jr,"January 15, 1929","Atlanta, Georgia, The United States"
"“It matters not what someone is born, but what they grow to be.”",J.K. Rowling,['dumbledore'],https://quotes.toscrape.com/author/J-K-Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kingdom"
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,['love'],https://quotes.toscrape.com/author/James-Baldwin,"August 02, 1924","Harlem, New York, The United States"
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen,"['friendship', 'love']",https://quotes.toscrape.com/author/Jane-Austen,"December 16, 1775","Steventon Rectory, Hampshire, The United Kingdom"
“Do one thing every day that scares you.”,Eleanor Roosevelt,"['attributed', 'fear', 'inspiration']",https://quotes.toscrape.com/author/Eleanor-Roosevelt,"October 11, 1884",The United States
"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe,['attributed-no-source'],https://quotes.toscrape.com/author/Marilyn-Monroe,"June 01, 1926",The United States
"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein,['music'],https://quotes.toscrape.com/author/Albert-Einstein,"March 14, 1879","Ulm, Germany"
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami,"['books', 'thought']",https://quotes.toscrape.com/author/Haruki-Murakami,"January 12, 1949","Kyoto, Japan"
“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils,['misattributed-to-einstein'],https://quotes.toscrape.com/author/Alexandre-Dumas-fils,"July 27, 1824","Paris, France"
"“He's like a drug for you, Bella.”",Stephenie Meyer,"['drug', 'romance', 'simile']",https://quotes.toscrape.com/author/Stephenie-Meyer,"December 24, 1973","Connecticut, The United States"
“There is no friend as loyal as a book.”,Ernest Hemingway,"['books', 'friends', 'novelist-quotes']",https://quotes.toscrape.com/author/Ernest-Hemingway,"July 21, 1899","Oak Park, Illinois, The United States"
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,['inspirational'],https://quotes.toscrape.com/author/Helen-Keller,"June 27, 1880","Tuscumbia, Alabama, The United States"
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,"['inspirational', 'life', 'yourself']",https://quotes.toscrape.com/author/George-Bernard-Shaw,"July 26, 1856","Dublin, Ireland"
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Charles Bukowski,['alcohol'],https://quotes.toscrape.com/author/Charles-Bukowski,"August 16, 1920","Andernach, Germany"
“You don’t forget the face of the person who was your last hope.”,Suzanne Collins,['the-hunger-games'],https://quotes.toscrape.com/author/Suzanne-Collins,"August 11, 1962","Hartford, Connecticut, The United States"
"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",Suzanne Collins,['humor'],https://quotes.toscrape.com/author/Suzanne-Collins,"August 11, 1962","Hartford, Connecticut, The United States"
"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",C.S. Lewis,['love'],https://quotes.toscrape.com/author/C-S-Lewis,"November 29, 1898","Belfast, Ireland"
“Not all those who wander are lost.”,J.R.R. Tolkien,"['bilbo', 'journey', 'lost', 'quest', 'travel', 'wander']",https://quotes.toscrape.com/author/J-R-R-Tolkien,"January 03, 1892","Bloemfontein, Mangaung, Free State, South Africa"
"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",J.K. Rowling,['live-death-love'],https://quotes.toscrape.com/author/J-K-Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kingdom"
“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,Ernest Hemingway,"['good', 'writing']",https://quotes.toscrape.com/author/Ernest-Hemingway,"July 21, 1899","Oak Park, Illinois, The United States"
“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson,"['life', 'regrets']",https://quotes.toscrape.com/author/Ralph-Waldo-Emerson,"May 25, 1803","Boston, Massachusetts, The United States"
“I have never let my schooling interfere with my education.”,Mark Twain,['education'],https://quotes.toscrape.com/author/Mark-Twain,"November 30, 1835","Florida, Missouri, The United States"
“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,Dr. Seuss,['troubles'],https://quotes.toscrape.com/author/Dr-Seuss,"March 02, 1904","Springfield, MA, The United States"
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,"['friendship', 'love']",https://quotes.toscrape.com/author/Alfred-Tennyson,"August 06, 1809","Somersby, Lincolnshire, The United Kingdom"
“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,['humor'],https://quotes.toscrape.com/author/Charles-Bukowski,"August 16, 1920","Andernach, Germany"
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,"['humor', 'open-mind', 'thinking']",https://quotes.toscrape.com/author/Terry-Pratchett,"April 28, 1948","Beaconsfield, Buckinghamshire, England, The United Kingdom"
"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss,"['humor', 'philosophy']",https://quotes.toscrape.com/author/Dr-Seuss,"March 02, 1904","Springfield, MA, The United States"
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger,"['authors', 'books', 'literature', 'reading', 'writing']",https://quotes.toscrape.com/author/J-D-Salinger,"January 01, 1919","Manhattan, New York, The United States"
“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,"['humor', 'insanity', 'lies', 'lying', 'self-indulgence', 'truth']",https://quotes.toscrape.com/author/George-Carlin,"May 12, 1937","New York, New York, The United States"
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon,"['beatles', 'connection', 'dreamers', 'dreaming', 'dreams', 'hope', 'inspirational', 'peace']",https://quotes.toscrape.com/author/John-Lennon,"October 09, 1940","Liverpool, England, The United Kingdom"
“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields,"['humor', 'sinister']",https://quotes.toscrape.com/author/W-C-Fields,"January 29, 1880","Darby, Pennsylvania, The United States"
“The question isn't who is going to let me; it's who is going to stop me.”,Ayn Rand,[],https://quotes.toscrape.com/author/Ayn-Rand,"February 02, 1905","St. Petersburg, Russian Federation"
“′Classic′ - a book which people praise and don't read.”,Mark Twain,"['books', 'classic', 'reading']",https://quotes.toscrape.com/author/Mark-Twain,"November 30, 1835","Florida, Missouri, The United States"
“Anyone who has never made a mistake has never tried anything new.”,Albert Einstein,['mistakes'],https://quotes.toscrape.com/author/Albert-Einstein,"March 14, 1879","Ulm, Germany"
"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",Jane Austen,"['humor', 'love', 'romantic', 'women']",https://quotes.toscrape.com/author/Jane-Austen,"December 16, 1775","Steventon Rectory, Hampshire, The United Kingdom"
"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",J.K. Rowling,['integrity'],https://quotes.toscrape.com/author/J-K-Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kingdom"
"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen,"['books', 'library', 'reading']",https://quotes.toscrape.com/author/Jane-Austen,"December 16, 1775","Steventon Rectory, Hampshire, The United Kingdom"
"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",Jane Austen,"['elizabeth-bennet', 'jane-austen']",https://quotes.toscrape.com/author/Jane-Austen,"December 16, 1775","Steventon Rectory, Hampshire, The United Kingdom"
“Some day you will be old enough to start reading fairy tales again.”,C.S. Lewis,"['age', 'fairytales', 'growing-up']",https://quotes.toscrape.com/author/C-S-Lewis,"November 29, 1898","Belfast, Ireland"
“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,C.S. Lewis,['god'],https://quotes.toscrape.com/author/C-S-Lewis,"November 29, 1898","Belfast, Ireland"
“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,Mark Twain,"['death', 'life']",https://quotes.toscrape.com/author/Mark-Twain,"November 30, 1835","Florida, Missouri, The United States"
“A lie can travel half way around the world while the truth is putting on its shoes.”,Mark Twain,"['misattributed-mark-twain', 'truth']",https://quotes.toscrape.com/author/Mark-Twain,"November 30, 1835","Florida, Missouri, The United States"
"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",C.S. Lewis,"['christianity', 'faith', 'religion', 'sun']",https://quotes.toscrape.com/author/C-S-Lewis,"November 29, 1898","Belfast, Ireland"
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",J.K. Rowling,['truth'],https://quotes.toscrape.com/author/J-K-Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kingdom"
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"['death', 'life']",https://quotes.toscrape.com/author/Jimi-Hendrix,"November 27, 1942","Seattle, Washington, The United States"
“To die will be an awfully big adventure.”,J.M. Barrie,"['adventure', 'love']",https://quotes.toscrape.com/author/J-M-Barrie,"May 09, 1860","Kirriemuir, Angus, Scotland, The United Kingdom"
“It takes courage to grow up and become who you really are.”,E.E. Cummings,['courage'],https://quotes.toscrape.com/author/E-E-Cummings,"October 14, 1894","Cambridge, Massachusetts, The United States"
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,['life'],https://quotes.toscrape.com/author/Khaled-Hosseini,"March 04, 1965","Kabul, Afghanistan"
“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,Harper Lee,['better-life-empathy'],https://quotes.toscrape.com/author/Harper-Lee,"April 28, 1926","Monroeville, Alabama, The United States"
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,"['books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing']",https://quotes.toscrape.com/author/Madeleine-LEngle,"November 29, 1918","New York City, New York, The United States"
“Never tell the truth to people who are not worthy of it.”,Mark Twain,['truth'],https://quotes.toscrape.com/author/Mark-Twain,"November 30, 1835","Florida, Missouri, The United States"
"“A person's a person, no matter how small.”",Dr. Seuss,['inspirational'],https://quotes.toscrape.com/author/Dr-Seuss,"March 02, 1904","Springfield, MA, The United States"
"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"['books', 'mind']",https://quotes.toscrape.com/author/George-R-R-Martin,"September 20, 1948","Bayonne, New Jersey, The United States"
